samples_per_group,false_positive_fraction
1.000000000000000000e+02,5.179999999999999882e-02
2.000000000000000000e+02,8.619999999999999885e-02
3.000000000000000000e+02,1.102999999999999953e-01
4.000000000000000000e+02,1.277000000000000079e-01
5.000000000000000000e+02,1.411000000000000032e-01
6.000000000000000000e+02,1.547999999999999932e-01
7.000000000000000000e+02,1.660999999999999976e-01
8.000000000000000000e+02,1.774000000000000021e-01
9.000000000000000000e+02,1.859999999999999987e-01
1.000000000000000000e+03,1.943999999999999895e-01
1.100000000000000000e+03,2.028999999999999970e-01
1.200000000000000000e+03,2.096000000000000085e-01
1.300000000000000000e+03,2.167000000000000037e-01
1.400000000000000000e+03,2.242999999999999994e-01
1.500000000000000000e+03,2.295999999999999985e-01
1.600000000000000000e+03,2.344999999999999862e-01
1.700000000000000000e+03,2.391000000000000070e-01
1.800000000000000000e+03,2.421999999999999986e-01
1.900000000000000000e+03,2.452000000000000013e-01
2.000000000000000000e+03,2.487000000000000044e-01
