strategy,trial,cv_auc,params
grid,1,0.9645490939738727,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
grid,2,0.9651021913190054,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}"
grid,3,0.9621786767804466,"{""max_depth"": 3, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
grid,4,0.9623367045933416,"{""max_depth"": 3, ""max_features"": 1.0, ""min_samples_leaf"": 4}"
grid,5,0.9714759797724399,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
grid,6,0.9714496418036241,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}"
grid,7,0.9696718289085545,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
grid,8,0.9683549304677622,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 4}"
grid,9,0.9747023809523809,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
grid,10,0.9700800674252,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}"
grid,11,0.9686314791403287,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
grid,12,0.9690528866413822,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4}"
random,1,0.9623762115465655,"{""max_depth"": 2, ""max_features"": 0.5, ""min_samples_leaf"": 1}"
random,2,0.9700800674252,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}"
random,3,0.9696323219553308,"{""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 4}"
random,4,0.9609934681837337,"{""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
random,5,0.9713179519595448,"{""max_depth"": 4, ""max_features"": 0.5, ""min_samples_leaf"": 1}"
random,6,0.969605983986515,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}"
random,7,0.9551332701222082,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 4}"
random,8,0.9668668352296672,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 4}"
random,9,0.9645490939738727,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
random,10,0.9742809734513275,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 4}"
random,11,0.965865992414665,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 8}"
random,12,0.9700273914875684,"{""max_depth"": 4, ""max_features"": 0.5, ""min_samples_leaf"": 8}"
