epoch,train_cross_entropy
1.000000000000000000e+00,7.176628708839416504e-01
2.000000000000000000e+00,6.858924031257629395e-01
3.000000000000000000e+00,6.793776750564575195e-01
4.000000000000000000e+00,6.557492613792419434e-01
5.000000000000000000e+00,6.322494149208068848e-01
6.000000000000000000e+00,6.153542399406433105e-01
7.000000000000000000e+00,5.989371538162231445e-01
8.000000000000000000e+00,5.770724415779113770e-01
9.000000000000000000e+00,5.514221787452697754e-01
1.000000000000000000e+01,5.254632830619812012e-01
1.100000000000000000e+01,5.000815987586975098e-01
1.200000000000000000e+01,4.745371937751770020e-01
1.300000000000000000e+01,4.480716884136199951e-01
1.400000000000000000e+01,4.208788573741912842e-01
1.500000000000000000e+01,3.942478001117706299e-01
1.600000000000000000e+01,3.693712651729583740e-01
1.700000000000000000e+01,3.461719453334808350e-01
1.800000000000000000e+01,3.239772915840148926e-01
1.900000000000000000e+01,3.028734028339385986e-01
2.000000000000000000e+01,2.835723757743835449e-01
2.100000000000000000e+01,2.663260698318481445e-01
2.200000000000000000e+01,2.506855726242065430e-01
2.300000000000000000e+01,2.362593412399291992e-01
2.400000000000000000e+01,2.231746613979339600e-01
2.500000000000000000e+01,2.116710543632507324e-01
2.600000000000000000e+01,2.015350311994552612e-01
2.700000000000000000e+01,1.922391504049301147e-01
2.800000000000000000e+01,1.835841685533523560e-01
2.900000000000000000e+01,1.758493483066558838e-01
3.000000000000000000e+01,1.692382842302322388e-01
3.100000000000000000e+01,1.634769439697265625e-01
3.200000000000000000e+01,1.581277847290039062e-01
3.300000000000000000e+01,1.530914157629013062e-01
3.400000000000000000e+01,1.485697776079177856e-01
3.500000000000000000e+01,1.446419358253479004e-01
3.600000000000000000e+01,1.411055922508239746e-01
3.700000000000000000e+01,1.377436369657516479e-01
3.800000000000000000e+01,1.345511823892593384e-01
3.900000000000000000e+01,1.316191256046295166e-01
4.000000000000000000e+01,1.289342194795608521e-01
4.100000000000000000e+01,1.264061927795410156e-01
4.200000000000000000e+01,1.240154951810836792e-01
4.300000000000000000e+01,1.218149811029434204e-01
4.400000000000000000e+01,1.198046952486038208e-01
4.500000000000000000e+01,1.179070025682449341e-01
4.600000000000000000e+01,1.160785704851150513e-01
4.700000000000000000e+01,1.143619269132614136e-01
4.800000000000000000e+01,1.127930581569671631e-01
4.900000000000000000e+01,1.113255694508552551e-01
5.000000000000000000e+01,1.098915785551071167e-01
5.100000000000000000e+01,1.084886267781257629e-01
5.200000000000000000e+01,1.071549057960510254e-01
5.300000000000000000e+01,1.058917418122291565e-01
5.400000000000000000e+01,1.046638712286949158e-01
5.500000000000000000e+01,1.034588739275932312e-01
5.600000000000000000e+01,1.022960543632507324e-01
5.700000000000000000e+01,1.011815294623374939e-01
5.800000000000000000e+01,1.000975146889686584e-01
5.900000000000000000e+01,9.903802722692489624e-02
6.000000000000000000e+01,9.801815450191497803e-02
6.100000000000000000e+01,9.704160690307617188e-02
6.200000000000000000e+01,9.608888626098632812e-02
6.300000000000000000e+01,9.514682739973068237e-02
6.400000000000000000e+01,9.422436356544494629e-02
6.500000000000000000e+01,9.332938492298126221e-02
6.600000000000000000e+01,9.245266765356063843e-02
6.700000000000000000e+01,9.158448129892349243e-02
6.800000000000000000e+01,9.072884172201156616e-02
6.900000000000000000e+01,8.989144861698150635e-02
7.000000000000000000e+01,8.906903862953186035e-02
7.100000000000000000e+01,8.825815469026565552e-02
7.200000000000000000e+01,8.746190369129180908e-02
7.300000000000000000e+01,8.668114244937896729e-02
7.400000000000000000e+01,8.590981364250183105e-02
7.500000000000000000e+01,8.514440059661865234e-02
7.600000000000000000e+01,8.438835293054580688e-02
7.700000000000000000e+01,8.364352583885192871e-02
7.800000000000000000e+01,8.290618658065795898e-02
7.900000000000000000e+01,8.217403292655944824e-02
8.000000000000000000e+01,8.144963532686233521e-02
8.100000000000000000e+01,8.073469996452331543e-02
8.200000000000000000e+01,8.002766221761703491e-02
8.300000000000000000e+01,7.932799309492111206e-02
8.400000000000000000e+01,7.863741368055343628e-02
8.500000000000000000e+01,7.795635610818862915e-02
8.600000000000000000e+01,7.728393375873565674e-02
8.700000000000000000e+01,7.662101089954376221e-02
8.800000000000000000e+01,7.596957683563232422e-02
8.900000000000000000e+01,7.532985508441925049e-02
9.000000000000000000e+01,7.470093667507171631e-02
9.100000000000000000e+01,7.408322393894195557e-02
9.200000000000000000e+01,7.347756624221801758e-02
9.300000000000000000e+01,7.288342714309692383e-02
9.400000000000000000e+01,7.229982316493988037e-02
9.500000000000000000e+01,7.172646373510360718e-02
